GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
52,5,27,10,3000,143.718,0.003515159,0.0002196974,7,0.0001098487,0.0003923169,0.004849037,32.6677,40.8673,4.7508,28,0.0013966,6,0.,0.
55,5,23,10,5000,129.2322,0.003303812,0.0002594617,4,0.0002940566,0.0004324362,0.004307064,32.9194,42.3454,4.8434,22,0.0011935,5,0.,0.00020757
56,4,30,10,200,69.9612,0.001101091,0.0003355705,4,0.0002936242,0.0004614094,0.002925755,44.6475,75.3548,4.043,22,0.00074455,6,0.,0.00018876
57,3,19,20,400,107.6016,0.001033542,0.0002131015,1,0.0053275369731066,0.0005434088,0.003782551,29.2203,53.7352,4.9155,19,0.0004262,7,0.,0.00038358
58,3,32,10,500,122.8908,0.001136014,0.0003273259,2,0.,0.0013285582,0.002368299,22.6885,62.0813,9.374,15,0.0011745,4,0.,0.000019254
60,2,27,6,70,44.457,0.00097839,0.0002552323,2,0.,0.,0.002424707,76.4405,98.7719,3.0965,16,0.00037221,6,0.,0.
61,1,21,8,240,46.9962,0.000820114,0.0001685166,6,0.,0.0000449377612007,0.001988496,94.0227,90.5311,4.1017,15,0.00057296,5,0.,0.
72,7,17,42,10000,212.6022,0.009039739,0.0006762401,6,0.0011635308,0.0012530331,0.004952464,24.6117,41.7671,6.6104,45,0.0022773,9,0.0001292812,0.00024862
77,4,20,14,2708,117.4884,0.002944275,0.0005267713,2,0.0000188132595854,0.0004138917,0.005399406,52.014,46.4321,3.3746,29,0.0010347,7,0.0002727923,0.00047033
81,4,18,24,800,155.9856,0.005053908,0.000524109,8,0.0000249575721274,0.0003993212,0.003568933,24.4632,52.1538,6.5664,27,0.0013103,6,0.,0.
83,3,16,16,6000,153.801,0.001676615,0.0003185568,4,0.,0.0008215411,0.003772383,23.4107,48.0711,7.0044,24,0.0015928,7,0.,0.000016766
93,4,26,4,190,79.2948,0.000378539,0.000255102,3,0.0000164581961817,0.000164582,0.00355497,39.6381,65.5,4.2269,19,0.00075708,7,0.0001069783,0.00026333
97,3,18,12,350,67.4754,0.000422522,0.0001690086,1,0.0000241440919407,0.0001448646,0.002885219,42.437,68.0502,4.3222,16,0.00074847,7,0.,0.00043459
98,3,38,6,1000,119.4366,0.004952043,0.0000521267723103,2,0.0000868779538504,0.0000347511815402,0.002727968,54.8718,79.2102,6.2293,21,0.0014943,5,0.,0.
100,5,16,30,5000,160.4754,0.00425386,0.0004317351,2,0.0007745835,0.0004063389,0.004571313,36.2897,46.8889,5.4361,28,0.0019809,7,0.,0.
102,5,17,16,1500,81.7722,0.002333484,0.0004304486,4,0.,0.0002492071,0.002899864,45.1654,64.75,4.5312,15,0.001246,6,0.,0.00022655
105,4,28,8,2000,50.8374,0.000664109,0.0002213695,1,0.0000184474616293,0.0001475797,0.002656435,45.7902,76.8889,3.5,13,0.00066411,6,0.,0.00029516
106,5,20,10,120,160.6464,0.003430344,0.0006336305,7,0.,0.0000946804171765,0.005535163,28.3636,37.7947,4.7671,29,0.0027676,10,0.0000873973081629,0.00010196
118,5,16,14,350,107.9118,0.006701306,0.0007061018,5,0.0000133226751932,0.0004662936,0.00323741,67.0744,71.3251,4.3786,27,0.0013323,9,0.0002398082,0.
127,4,26,28,1100,114.7806,0.002629613,0.0002873894,5,0.000244281,0.0003448672,0.003649845,40.4427,59.937,4.9961,16,0.0015806,5,0.,0.
132,5,21,10,800,115.1274,0.002651149,0.000660037,8,0.0000990055443105,0.0006930388,0.004147232,30.766,49.4854,4.679,30,0.00082505,8,0.,0.00051703
138,6,21,6,500,133.7016,0.004499795,0.0004201053,3,0.000018671346951,0.0000746853878039,0.003874305,21.4686,50.5253,5.4892,29,0.0010083,10,0.,0.00056014
139,5,18,20,800,99.5088,0.00073402,0.000108298,1,0.0000240662302657,0.0005775895,0.002695418,22.7265,68.7321,6.7054,23,0.0019614,7,0.,0.
140,5,26,10,500,83.9172,0.002853513,0.0004929658,3,0.,0.,0.004607334,51.2082,52.0494,2.8663,31,0.00065413,9,0.,0.
141,4,17,14,500,216.6936,0.012494649,0.0004815925,4,0.0000535102739726,0.0001070205,0.004334332,27.9255,45.1605,6.3395,18,0.001204,5,0.,0.
142,4,23,20,800,129.8598,0.002315078,0.0003337689,5,0.0000781161231678,0.0010084081,0.003472617,36.3934,57.5215,6.7587,36,0.00075276,11,0.0002840586,0.0012286
144,6,18,70,2520,267.5586,0.027814934,0.0007081596,10,0.,0.0001278621,0.005616099,34.6035,40.6025,4.1629,36,0.00085569,12,0.0000885199464946,0.00019671
149,5,25,6,800,74.1174,0.000875,0.0002053571,6,0.0000178571428571,0.0000446428571429,0.003517857,46.4122,71.8173,3.7944,34,0.00092857,5,0.,0.
154,5,25,20,700,101.6796,0.001406194,0.0004271983,5,0.,0.0001245995,0.003453186,26.7979,54.5979,5.3144,22,0.0010324,4,0.,0.0005696
158,6,18,10,160,150.5004,0.005666689,0.0006315286,6,0.0003755035,0.0004096402,0.004625521,30.2222,45.5941,4.9077,14,0.001007,6,0.,0.
160,3,19,6,150,64.6416,0.000672344,0.0003361721,1,0.0001540789,0.000203104,0.002759413,53.5776,78.2944,4.2284,41,0.00063733,6,0.0000700358583595,0.000063032
161,3,18,8,250,41.9094,0.000275751,0.0001909045,0,0.,0.0001696929,0.002142372,54.4677,91.3069,3.6881,17,0.00066817,6,0.,0.000021212
